CircleName,Abbrev,LatLong,X4,X5,X6,X7,X8,X9
93,11,18,Clear,Clear,Unknown,Unknown,Unknown,Unknown
92,20,32,Cloudy,Cloudy,Unknown,Unknown,Unknown,Unknown
91,5,18,Cloudy,Cloudy,Unknown,Unknown,Unknown,Unknown
90,-3,24,Clear,Clear,Unknown,Unknown,Unknown,Unknown
89,23,30,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
88,25,34,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
87,28,34,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
86,2,18,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
85,18,28,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
84,5,18,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
83,40,43,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
82,21,39,Cloudy,Cloudy,None,None,Light,None
81,3,26,Cloudy,Cloudy,None,None,Light,Light
80,30,39,Cloudy,Cloudy,None,None,Light,None
72,29,38,Cloudy,Cloudy,Light,Light,None,None
71,12,28,Partly Cloudy,Partly Cloudy,None,None,Light,Light
70,15,31,Clear,Clear,Unknown,Unknown,Unknown,Unknown
69,15,24,Unknown,Unknown,None,None,Light,None
68,21,34,Cloudy,Cloudy,None,None,Light,None
67,17,29,Cloudy,Cloudy,None,None,Light,Light
66,10,25,Clear,Clear,Unknown,Unknown,Unknown,Unknown
65,18,31,Cloudy,Cloudy,Unknown,Unknown,Unknown,Unknown
64,26,34,Cloudy,Cloudy,Unknown,Unknown,Unknown,Unknown
63,21,36,Cloudy,Cloudy,Unknown,Unknown,Unknown,Unknown
NA,NA,NA,NA,NA,NA,NA,NA,NA
CountYear5,LowTemp3,HighTemp2,AMCloud2,PMClouds2,NA,NA,NA,NA
118,12/26/2017,85,198.75,100,NA,NA,NA,NA
117,12/26/2016,95,216.65,97,NA,NA,NA,NA
116,12/26/2015,107,221,94,NA,NA,NA,NA
115,12/26/2014,80,179.25,99,NA,NA,NA,NA
114,12/26/2013,93,182.2,98,NA,NA,NA,NA
113,12/26/2012,103,194.55,99,NA,NA,NA,NA
112,12/26/2011,91,227.95,105,NA,NA,NA,NA
111,12/26/2010,73,226.25,98,NA,NA,NA,NA
110,12/26/2009,56,194,98,NA,NA,NA,NA
109,12/26/2008,81,227,104,NA,NA,NA,NA
108,12/26/2007,77,214,103,NA,NA,NA,NA
107,12/26/2006,86,223,101,NA,NA,NA,NA
106,12/26/2005,73,245.75,100,NA,NA,NA,NA
105,12/26/2004,85,203.75,102,NA,NA,NA,NA
104,12/26/2003,87,248.75,101,NA,NA,NA,NA
103,12/26/2002,80,228.3,96,NA,NA,NA,NA
102,12/26/2001,35,153.5,97,NA,NA,NA,NA
101,12/26/2000,39,143.5,94,NA,NA,NA,NA
100,12/26/1999,40,139,86,NA,NA,NA,NA
99,12/26/1998,49,176.5,94,NA,NA,NA,NA
98,12/26/1997,39,160.5,NA,NA,NA,NA,NA
97,12/26/1996,38,149.5,NA,NA,NA,NA,NA
96,12/26/1995,45,186,NA,NA,NA,NA,NA
95,12/26/1994,45,157.5,NA,NA,NA,NA,NA
94,12/26/1993,37,134,NA,NA,NA,NA,NA
93,12/26/1992,42,167,NA,NA,NA,NA,NA
92,12/26/1991,39,175.5,NA,NA,NA,NA,NA
91,12/26/1990,43,164,NA,NA,NA,NA,NA
90,12/26/1989,41,157,NA,NA,NA,NA,NA
89,12/26/1988,42,167,NA,NA,NA,NA,NA
88,12/26/1987,52,166.5,NA,NA,NA,NA,NA
87,12/26/1986,50,182,NA,NA,NA,NA,NA
86,12/26/1985,55,143,NA,NA,NA,NA,NA
85,12/26/1984,55,178,NA,NA,NA,NA,NA
84,12/26/1983,53,168,NA,NA,NA,NA,NA
83,12/26/1982,48,64,NA,NA,NA,NA,NA
82,12/26/1981,36,167,NA,NA,NA,NA,NA
81,12/26/1980,52,186,NA,NA,NA,NA,NA
80,12/26/1979,42,171,NA,NA,NA,NA,NA
79,12/26/1978,45,172,NA,NA,NA,NA,NA
78,12/26/1977,52,157,NA,NA,NA,NA,NA
77,12/26/1976,70,207,NA,NA,NA,NA,NA
76,12/26/1975,54,166,NA,NA,NA,NA,NA
75,12/26/1974,61,199,NA,NA,NA,NA,NA
74,12/16/1973,39,172,NA,NA,NA,NA,NA
73,12/17/1972,52,196,NA,NA,NA,NA,NA
72,12/26/1971,57,237,NA,NA,NA,NA,NA
71,12/26/1970,50,232,NA,NA,NA,NA,NA
70,12/28/1969,53,208,NA,NA,NA,NA,NA
69,12/29/1968,37,171,NA,NA,NA,NA,NA
68,12/24/1967,45,251,NA,NA,NA,NA,NA
67,12/26/1966,40,159,NA,NA,NA,NA,NA
66,12/26/1965,47,158,NA,NA,NA,NA,NA
65,12/27/1964,50,204,NA,NA,NA,NA,NA
64,12/22/1963,51,213,NA,NA,NA,NA,NA
63,12/23/1962,77,193,NA,NA,NA,NA,NA
62,12/24/1961,97,223,NA,NA,NA,NA,NA
61,12/26/1960,70,178,NA,NA,NA,NA,NA
60,12/27/1959,52,135,NA,NA,NA,NA,NA
59,12/28/1958,41,169,NA,NA,NA,NA,NA
58,12/29/1957,53,193,NA,NA,NA,NA,NA
57,12/30/1956,54,158,NA,NA,NA,NA,NA
56,12/26/1955,42,125,NA,NA,NA,NA,NA
55,12/26/1954,60,133,NA,NA,NA,NA,NA
54,12/26/1953,54,134,NA,NA,NA,NA,NA
53,12/21/1952,65,133,NA,NA,NA,NA,NA
52,12/23/1951,46,103,NA,NA,NA,NA,NA
51,12/26/1950,52,134,NA,NA,NA,NA,NA
50,12/26/1949,50,NA,NA,NA,NA,NA,NA
49,12/26/1948,37,NA,NA,NA,NA,NA,NA
48,12/21/1947,55,NA,NA,NA,NA,NA,NA
47,12/22/1946,45,101,NA,NA,NA,NA,NA
46,12/30/1945,22,NA,NA,NA,NA,NA,NA
45,12/31/1944,24,68,NA,NA,NA,NA,NA
44,12/19/1943,36,116,NA,NA,NA,NA,NA
43,12/20/1942,33,72,NA,NA,NA,NA,NA
42,12/21/1941,31,NA,NA,NA,NA,NA,NA
41,12/22/1940,24,67,NA,NA,NA,NA,NA
40,12/17/1939,32,81,NA,NA,NA,NA,NA
39,12/26/1938,35,NA,NA,NA,NA,NA,NA
38,12/27/1937,29,NA,NA,NA,NA,NA,NA
37,12/26/1936,15,NA,NA,NA,NA,NA,NA
36,12/27/1935,25,NA,NA,NA,NA,NA,NA
35,12/27/1934,14,NA,NA,NA,NA,NA,NA
34,12/27/1933,8,NA,NA,NA,NA,NA,NA
33,12/27/1932,12,NA,NA,NA,NA,NA,NA
32,12/26/1931,14,NA,NA,NA,NA,NA,NA
31,12/27/1930,17,NA,NA,NA,NA,NA,NA
29,12/22/1928,7,NA,NA,NA,NA,NA,NA
27,12/26/1926,13,NA,NA,NA,NA,NA,NA
26,12/26/1925,10,NA,NA,NA,NA,NA,NA
25,12/27/1924,8,NA,NA,NA,NA,NA,NA
23,12/26/1922,9,NA,NA,NA,NA,NA,NA
22,12/23/1921,2,8,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
CountYear4,LowTemp2,NA,NA,NA,NA,NA,NA,NA
118,Hamilton Naturalists' Club,NA,NA,NA,NA,NA,NA,NA
117,Hamilton Naturalists' Club,NA,NA,NA,NA,NA,NA,NA
116,Hamilton Naturalists' Club,NA,NA,NA,NA,NA,NA,NA
115,NA,NA,NA,NA,NA,NA,NA,NA
114,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,NA,NA,NA,NA,NA,NA
112,NA,NA,NA,NA,NA,NA,NA,NA
111,NA,NA,NA,NA,NA,NA,NA,NA
110,NA,NA,NA,NA,NA,NA,NA,NA
109,NA,NA,NA,NA,NA,NA,NA,NA
108,NA,NA,NA,NA,NA,NA,NA,NA
107,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,NA,NA,NA,NA,NA,NA
105,Hamilton Naturalists' Club,NA,NA,NA,NA,NA,NA,NA
104,Hamilton Naturalists' Club,NA,NA,NA,NA,NA,NA,NA
103,Hamilton Naturalists' Club,NA,NA,NA,NA,NA,NA,NA
102,NA,NA,NA,NA,NA,NA,NA,NA
101,NA,NA,NA,NA,NA,NA,NA,NA
100,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,NA,NA,NA,NA,NA,NA
98,NA,NA,NA,NA,NA,NA,NA,NA
97,NA,NA,NA,NA,NA,NA,NA,NA
96,NA,NA,NA,NA,NA,NA,NA,NA
95,NA,NA,NA,NA,NA,NA,NA,NA
94,NA,NA,NA,NA,NA,NA,NA,NA
93,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,NA,NA,NA,NA,NA,NA
91,NA,NA,NA,NA,NA,NA,NA,NA
90,NA,NA,NA,NA,NA,NA,NA,NA
89,NA,NA,NA,NA,NA,NA,NA,NA
88,NA,NA,NA,NA,NA,NA,NA,NA
87,NA,NA,NA,NA,NA,NA,NA,NA
86,NA,NA,NA,NA,NA,NA,NA,NA
85,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,NA,NA,NA,NA,NA,NA
83,NA,NA,NA,NA,NA,NA,NA,NA
82,NA,NA,NA,NA,NA,NA,NA,NA
81,NA,NA,NA,NA,NA,NA,NA,NA
80,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,NA,NA,NA,NA,NA,NA
76,NA,NA,NA,NA,NA,NA,NA,NA
75,NA,NA,NA,NA,NA,NA,NA,NA
74,NA,NA,NA,NA,NA,NA,NA,NA
73,NA,NA,NA,NA,NA,NA,NA,NA
72,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,NA,NA,NA,NA,NA,NA
70,NA,NA,NA,NA,NA,NA,NA,NA
69,NA,NA,NA,NA,NA,NA,NA,NA
68,NA,NA,NA,NA,NA,NA,NA,NA
67,NA,NA,NA,NA,NA,NA,NA,NA
66,NA,NA,NA,NA,NA,NA,NA,NA
65,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,NA,NA,NA,NA,NA,NA
63,NA,NA,NA,NA,NA,NA,NA,NA
62,NA,NA,NA,NA,NA,NA,NA,NA
61,NA,NA,NA,NA,NA,NA,NA,NA
60,NA,NA,NA,NA,NA,NA,NA,NA
59,NA,NA,NA,NA,NA,NA,NA,NA
58,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,NA,NA,NA,NA,NA,NA,NA
54,NA,NA,NA,NA,NA,NA,NA,NA
53,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,NA,NA,NA,NA,NA,NA
51,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,NA,NA,NA,NA,NA,NA,NA
47,NA,NA,NA,NA,NA,NA,NA,NA
46,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,NA,NA,NA,NA,NA,NA
31,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,NA,NA,NA,NA,NA,NA
26,NA,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
COM_NAME,CountYear,how_manyCW,NumberByPartyHours,Flags,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1921 [22]
Count Date: 12/23/1921
# Participants: 
# Species Reported: 
Total Hrs.: 8.00",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1922 [23]
Count Date: 12/26/1922
# Participants: 
# Species Reported: 
Total Hrs.:",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1924 [25]
Count Date: 12/27/1924
# Participants: 
# Species Reported: 
Total Hrs.:",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1925 [26]
Count Date: 12/26/1925
# Participants: 
# Species Reported: 
Total Hrs.:",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1926 [27]
Count Date: 12/26/1926
# Participants: 
# Species Reported: 
Total Hrs.:",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1928 [29]
Count Date: 12/22/1928
# Participants: 
# Species Reported: 
Total Hrs.:",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1930 [31]
Count Date: 12/27/1930
# Participants: 
# Species Reported: 
Total Hrs.:",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1931 [32]
Count Date: 12/26/1931
# Participants: 
# Species Reported: 
Total Hrs.:",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1932 [33]
Count Date: 12/27/1932
# Participants: 
# Species Reported: 
Total Hrs.:",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1933 [34]
Count Date: 12/27/1933
# Participants: 
# Species Reported: 
Total Hrs.:",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1934 [35]
Count Date: 12/27/1934
# Participants: 
# Species Reported: 
Total Hrs.:",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1935 [36]
Count Date: 12/27/1935
# Participants: 
# Species Reported: 
Total Hrs.:",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1936 [37]
Count Date: 12/26/1936
# Participants: 
# Species Reported: 
Total Hrs.:",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1937 [38]
Count Date: 12/27/1937
# Participants: 
# Species Reported: 
Total Hrs.:",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1938 [39]
Count Date: 12/26/1938
# Participants: 
# Species Reported: 
Total Hrs.:",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1939 [40]
Count Date: 12/17/1939
# Participants: 
# Species Reported: 
Total Hrs.: 81.00",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1940 [41]
Count Date: 12/22/1940
# Participants: 
# Species Reported: 
Total Hrs.: 67.00",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1941 [42]
Count Date: 12/21/1941
# Participants: 
# Species Reported: 
Total Hrs.:",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1942 [43]
Count Date: 12/20/1942
# Participants: 
# Species Reported: 
Total Hrs.: 72.00",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1943 [44]
Count Date: 12/19/1943
# Participants: 
# Species Reported: 
Total Hrs.: 116.00",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1944 [45]
Count Date: 12/31/1944
# Participants: 
# Species Reported: 
Total Hrs.: 68.00",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1945 [46]
Count Date: 12/30/1945
# Participants: 
# Species Reported: 
Total Hrs.:",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1946 [47]
Count Date: 12/22/1946
# Participants: 
# Species Reported: 
Total Hrs.: 101.00",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1947 [48]
Count Date: 12/21/1947
# Participants: 
# Species Reported: 
Total Hrs.:",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1948 [49]
Count Date: 12/26/1948
# Participants: 
# Species Reported: 
Total Hrs.:",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1949 [50]
Count Date: 12/26/1949
# Participants: 
# Species Reported: 
Total Hrs.:",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1950 [51]
Count Date: 12/26/1950
# Participants: 
# Species Reported: 
Total Hrs.: 134.00",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1951 [52]
Count Date: 12/23/1951
# Participants: 
# Species Reported: 
Total Hrs.: 103.00",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1952 [53]
Count Date: 12/21/1952
# Participants: 
# Species Reported: 
Total Hrs.: 133.00",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1953 [54]
Count Date: 12/26/1953
# Participants: 
# Species Reported: 
Total Hrs.: 134.00",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1954 [55]
Count Date: 12/26/1954
# Participants: 
# Species Reported: 
Total Hrs.: 133.00",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1955 [56]
Count Date: 12/26/1955
# Participants: 
# Species Reported: 
Total Hrs.: 125.00",1,0.008,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1956 [57]
Count Date: 12/30/1956
# Participants: 
# Species Reported: 
Total Hrs.: 158.00",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1957 [58]
Count Date: 12/29/1957
# Participants: 
# Species Reported: 
Total Hrs.: 193.00",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1958 [59]
Count Date: 12/28/1958
# Participants: 
# Species Reported: 
Total Hrs.: 169.00",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1959 [60]
Count Date: 12/27/1959
# Participants: 
# Species Reported: 
Total Hrs.: 135.00",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1960 [61]
Count Date: 12/26/1960
# Participants: 
# Species Reported: 
Total Hrs.: 178.00",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1961 [62]
Count Date: 12/24/1961
# Participants: 
# Species Reported: 
Total Hrs.: 223.00",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1962 [63]
Count Date: 12/23/1962
# Participants: 
# Species Reported: 
Total Hrs.: 193.00",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1963 [64]
Count Date: 12/22/1963
# Participants: 
# Species Reported: 
Total Hrs.: 213.00",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1964 [65]
Count Date: 12/27/1964
# Participants: 
# Species Reported: 
Total Hrs.: 204.00",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1965 [66]
Count Date: 12/26/1965
# Participants: 
# Species Reported: 
Total Hrs.: 158.00",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1966 [67]
Count Date: 12/26/1966
# Participants: 
# Species Reported: 
Total Hrs.: 159.00",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1967 [68]
Count Date: 12/24/1967
# Participants: 
# Species Reported: 
Total Hrs.: 251.00",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1968 [69]
Count Date: 12/29/1968
# Participants: 
# Species Reported: 
Total Hrs.: 171.00",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1969 [70]
Count Date: 12/28/1969
# Participants: 
# Species Reported: 
Total Hrs.: 208.00",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1970 [71]
Count Date: 12/26/1970
# Participants: 
# Species Reported: 
Total Hrs.: 232.00",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1971 [72]
Count Date: 12/26/1971
# Participants: 
# Species Reported: 
Total Hrs.: 237.00",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1972 [73]
Count Date: 12/17/1972
# Participants: 
# Species Reported: 
Total Hrs.: 196.00",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1973 [74]
Count Date: 12/16/1973
# Participants: 
# Species Reported: 
Total Hrs.: 172.00",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1974 [75]
Count Date: 12/26/1974
# Participants: 
# Species Reported: 
Total Hrs.: 199.00",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1975 [76]
Count Date: 12/26/1975
# Participants: 
# Species Reported: 
Total Hrs.: 166.00",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1976 [77]
Count Date: 12/26/1976
# Participants: 
# Species Reported: 
Total Hrs.: 207.00",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1977 [78]
Count Date: 12/26/1977
# Participants: 
# Species Reported: 
Total Hrs.: 157.00",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1978 [79]
Count Date: 12/26/1978
# Participants: 
# Species Reported: 
Total Hrs.: 172.00",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1979 [80]
Count Date: 12/26/1979
# Participants: 
# Species Reported: 
Total Hrs.: 171.00",6,0.0351,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1980 [81]
Count Date: 12/26/1980
# Participants: 
# Species Reported: 
Total Hrs.: 186.00",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1981 [82]
Count Date: 12/26/1981
# Participants: 
# Species Reported: 
Total Hrs.: 167.00",1,0.006,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1982 [83]
Count Date: 12/26/1982
# Participants: 
# Species Reported: 
Total Hrs.: 64.00",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1983 [84]
Count Date: 12/26/1983
# Participants: 
# Species Reported: 
Total Hrs.: 168.00",1,0.006,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1984 [85]
Count Date: 12/26/1984
# Participants: 
# Species Reported: 
Total Hrs.: 178.00",2,0.0112,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1985 [86]
Count Date: 12/26/1985
# Participants: 
# Species Reported: 
Total Hrs.: 143.00",2,0.014,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1986 [87]
Count Date: 12/26/1986
# Participants: 
# Species Reported: 
Total Hrs.: 182.00",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1987 [88]
Count Date: 12/26/1987
# Participants: 
# Species Reported: 
Total Hrs.: 166.50",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1988 [89]
Count Date: 12/26/1988
# Participants: 
# Species Reported: 
Total Hrs.: 167.00",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1989 [90]
Count Date: 12/26/1989
# Participants: 
# Species Reported: 
Total Hrs.: 157.00",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1990 [91]
Count Date: 12/26/1990
# Participants: 
# Species Reported: 
Total Hrs.: 164.00",1,0.0061,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1991 [92]
Count Date: 12/26/1991
# Participants: 
# Species Reported: 
Total Hrs.: 175.50",1,0.0057,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1992 [93]
Count Date: 12/26/1992
# Participants: 
# Species Reported: 
Total Hrs.: 167.00",1,0.006,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1993 [94]
Count Date: 12/26/1993
# Participants: 
# Species Reported: 
Total Hrs.: 134.00",cw,0,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1994 [95]
Count Date: 12/26/1994
# Participants: 
# Species Reported: 
Total Hrs.: 157.50",1,0.0063,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1995 [96]
Count Date: 12/26/1995
# Participants: 
# Species Reported: 
Total Hrs.: 186.00",NA,NA,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1996 [97]
Count Date: 12/26/1996
# Participants: 
# Species Reported: 
Total Hrs.: 149.50",1,0.0067,NA,NA,NA,NA,NA
"Snow Goose
[Chen caerulescens]","1997 [98]
Count Date: 12/26/1997
# Participants: 
# Species Reported: 
Total Hrs.: 160.50",NA,NA,NA,NA,NA,NA,NA
